date,event_sentiment_score,count
2003-01-03 00:00:00.000,,1
2003-01-09 00:00:00.000,,2
2003-01-10 00:00:00.000,,2
2003-01-15 00:00:00.000,,1
2003-01-23 00:00:00.000,0.38136363636363646,32
2003-01-24 00:00:00.000,0.5657142857142857,21
2003-01-25 00:00:00.000,0.42937499999999995,16
2003-01-27 00:00:00.000,0.65,1
2003-01-28 00:00:00.000,,2
2003-02-03 00:00:00.000,,3
2003-02-05 00:00:00.000,-0.49,5
2003-02-06 00:00:00.000,-0.49,2
2003-02-07 00:00:00.000,-0.49,3
2003-02-10 00:00:00.000,-0.49666666666666665,3
2003-02-11 00:00:00.000,0.0,2
2003-02-12 00:00:00.000,,1
2003-02-13 00:00:00.000,,1
2003-02-14 00:00:00.000,,5
2003-02-20 00:00:00.000,-0.49,4
2003-02-24 00:00:00.000,-0.49,2
2003-02-25 00:00:00.000,-0.49,1
2003-03-03 00:00:00.000,,3
2003-03-05 00:00:00.000,,1
2003-03-06 00:00:00.000,0.65,1
2003-03-13 00:00:00.000,,1
2003-03-14 00:00:00.000,0.0,1
2003-03-17 00:00:00.000,0.47,1
2003-03-19 00:00:00.000,-0.5566666666666666,4
2003-03-24 00:00:00.000,0.0,1
2003-04-01 00:00:00.000,-0.58,2
2003-04-02 00:00:00.000,-0.49,1
2003-04-03 00:00:00.000,0.39,2
2003-04-04 00:00:00.000,,2
2003-04-09 00:00:00.000,-0.99,4
2003-04-11 00:00:00.000,0.22,4
2003-04-13 00:00:00.000,,1
2003-04-14 00:00:00.000,0.21,8
2003-04-15 00:00:00.000,,2
2003-04-17 00:00:00.000,0.44,4
2003-04-20 00:00:00.000,0.4,1
2003-04-21 00:00:00.000,0.72,2
2003-04-23 00:00:00.000,-0.495,2
2003-04-24 00:00:00.000,0.3,29
2003-04-25 00:00:00.000,0.17714285714285713,29
2003-04-26 00:00:00.000,0.6733333333333333,6
2003-04-28 00:00:00.000,0.64,1
2003-04-29 00:00:00.000,,1
2003-05-01 00:00:00.000,,1
2003-05-04 00:00:00.000,,1
2003-05-05 00:00:00.000,-0.49,2
2003-05-06 00:00:00.000,-0.49,3
2003-05-07 00:00:00.000,-0.49,3
2003-05-08 00:00:00.000,0.0,1
2003-05-09 00:00:00.000,-0.49,2
2003-05-14 00:00:00.000,,2
2003-05-16 00:00:00.000,,2
2003-05-17 00:00:00.000,,2
2003-05-19 00:00:00.000,-0.49,4
2003-05-21 00:00:00.000,0.0,7
2003-05-22 00:00:00.000,0.49,6
2003-05-23 00:00:00.000,0.0,1
2003-05-28 00:00:00.000,0.24,5
2003-05-29 00:00:00.000,0.0,1
2003-05-30 00:00:00.000,,1
2003-06-02 00:00:00.000,,1
2003-06-03 00:00:00.000,-0.98,2
2003-06-04 00:00:00.000,0.49,3
2003-06-10 00:00:00.000,0.52,4
2003-06-12 00:00:00.000,,1
2003-06-17 00:00:00.000,,1
2003-06-20 00:00:00.000,0.0,2
2003-06-21 00:00:00.000,0.51,2
2003-06-23 00:00:00.000,0.39,3
2003-06-24 00:00:00.000,0.44,1
2003-06-27 00:00:00.000,,1
2003-06-30 00:00:00.000,,1
2003-07-01 00:00:00.000,-0.17333333333333334,8
2003-07-02 00:00:00.000,-0.52,4
2003-07-03 00:00:00.000,,1
2003-07-11 00:00:00.000,-0.51,4
2003-07-14 00:00:00.000,,1
2003-07-18 00:00:00.000,,3
2003-07-21 00:00:00.000,,3
2003-07-22 00:00:00.000,0.22863636363636364,29
2003-07-23 00:00:00.000,0.36363636363636365,26
2003-07-24 00:00:00.000,0.5677777777777777,12
2003-07-26 00:00:00.000,,1
2003-07-29 00:00:00.000,,1
2003-08-01 00:00:00.000,,2
2003-08-06 00:00:00.000,,1
2003-08-12 00:00:00.000,0.312,6
2003-08-13 00:00:00.000,0.39,1
2003-08-18 00:00:00.000,0.0,1
2003-08-19 00:00:00.000,,1
2003-08-22 00:00:00.000,,2
2003-08-25 00:00:00.000,,3
2003-08-26 00:00:00.000,0.49,10
2003-08-27 00:00:00.000,-0.48,4
2003-09-01 00:00:00.000,0.0,1
2003-09-02 00:00:00.000,,6
2003-09-03 00:00:00.000,,1
2003-09-15 00:00:00.000,0.195,2
2003-09-16 00:00:00.000,0.49,3
2003-09-19 00:00:00.000,0.0,1
2003-09-22 00:00:00.000,0.49,10
2003-09-23 00:00:00.000,0.0,2
2003-09-24 00:00:00.000,-0.25333333333333335,5
2003-09-25 00:00:00.000,0.18333333333333335,5
2003-09-26 00:00:00.000,0.35000000000000003,6
2003-09-29 00:00:00.000,0.0,1
2003-10-02 00:00:00.000,0.49,4
2003-10-03 00:00:00.000,,1
2003-10-06 00:00:00.000,0.0,5
2003-10-07 00:00:00.000,0.44,9
2003-10-08 00:00:00.000,,2
2003-10-09 00:00:00.000,,1
2003-10-10 00:00:00.000,,1
2003-10-13 00:00:00.000,0.0,2
2003-10-16 00:00:00.000,,2
2003-10-20 00:00:00.000,-0.55,1
2003-10-21 00:00:00.000,0.1995121951219512,45
2003-10-22 00:00:00.000,0.235,24
2003-10-23 00:00:00.000,0.542,8
2003-10-24 00:00:00.000,0.305,6
2003-10-27 00:00:00.000,,2
2003-10-28 00:00:00.000,,3
2003-10-30 00:00:00.000,-0.1075,5
2003-10-31 00:00:00.000,0.65,2
2003-11-03 00:00:00.000,-0.010000000000000009,2
2003-11-05 00:00:00.000,0.65,1
2003-11-06 00:00:00.000,0.41,1
2003-11-07 00:00:00.000,,1
2003-11-11 00:00:00.000,0.56,5
2003-11-12 00:00:00.000,,2
2003-11-13 00:00:00.000,0.38999999999999996,4
2003-11-21 00:00:00.000,,1
2003-11-25 00:00:00.000,,2
2003-11-26 00:00:00.000,0.0,1
2003-11-28 00:00:00.000,,1
2003-12-08 00:00:00.000,-0.43,1
2003-12-12 00:00:00.000,,1
2003-12-15 00:00:00.000,-0.01999999999999999,8
2003-12-16 00:00:00.000,-0.99,1
2003-12-17 00:00:00.000,,1
2003-12-18 00:00:00.000,0.40249999999999997,8
2003-12-19 00:00:00.000,0.0,1
2003-12-20 00:00:00.000,-0.51,1
2003-12-26 00:00:00.000,,11
2004-01-05 00:00:00.000,0.0,2
2004-01-06 00:00:00.000,,2
2004-01-07 00:00:00.000,,3
2004-01-08 00:00:00.000,0.01,3
2004-01-12 00:00:00.000,0.0,1
2004-01-13 00:00:00.000,,1
2004-01-21 00:00:00.000,0.495,4
2004-01-22 00:00:00.000,,2
2004-01-26 00:00:00.000,0.0,2
2004-01-27 00:00:00.000,0.2405128205128205,49
2004-01-28 00:00:00.000,0.5083333333333333,19
2004-01-29 00:00:00.000,0.685625,19
2004-01-30 00:00:00.000,,1
2004-02-02 00:00:00.000,0.0,1
2004-02-03 00:00:00.000,,2
2004-02-04 00:00:00.000,0.49,2
2004-02-05 00:00:00.000,-0.49,4
2004-02-06 00:00:00.000,-0.49,1
2004-02-07 00:00:00.000,-0.49,1
2004-02-09 00:00:00.000,-0.43,1
2004-02-10 00:00:00.000,0.47,1
2004-02-11 00:00:00.000,,1
2004-02-12 00:00:00.000,-0.24,2
2004-02-13 00:00:00.000,-0.495,5
2004-02-16 00:00:00.000,-0.43,1
2004-02-17 00:00:00.000,-0.51,4
2004-02-18 00:00:00.000,,1
2004-02-20 00:00:00.000,-0.4083333333333334,6
2004-02-23 00:00:00.000,-0.49,1
2004-02-24 00:00:00.000,,3
2004-02-25 00:00:00.000,-0.5033333333333333,5
2004-02-26 00:00:00.000,-0.18000000000000002,7
2004-02-27 00:00:00.000,-0.48,2
2004-02-28 00:00:00.000,,1
2004-03-01 00:00:00.000,-0.43,1
2004-03-02 00:00:00.000,,1
2004-03-03 00:00:00.000,0.49,4
2004-03-04 00:00:00.000,-0.485,2
2004-03-05 00:00:00.000,0.53,3
2004-03-06 00:00:00.000,-0.48,3
2004-03-08 00:00:00.000,-0.43,1
2004-03-09 00:00:00.000,0.65,6
2004-03-11 00:00:00.000,,2
2004-03-15 00:00:00.000,-0.43,1
2004-03-17 00:00:00.000,0.68,1
2004-03-18 00:00:00.000,,1
2004-03-23 00:00:00.000,,1
2004-03-25 00:00:00.000,-0.49,2
2004-03-26 00:00:00.000,0.0,1
2004-03-29 00:00:00.000,-0.43,1
2004-03-30 00:00:00.000,,1
2004-03-31 00:00:00.000,0.492,6
2004-04-01 00:00:00.000,-0.49,1
2004-04-05 00:00:00.000,0.0,1
2004-04-06 00:00:00.000,,1
2004-04-07 00:00:00.000,,2
2004-04-09 00:00:00.000,-0.48,1
2004-04-12 00:00:00.000,0.46249999999999997,6
2004-04-13 00:00:00.000,0.44,1
2004-04-14 00:00:00.000,0.48,5
2004-04-16 00:00:00.000,,2
2004-04-20 00:00:00.000,0.62,4
2004-04-21 00:00:00.000,0.0,2
2004-04-22 00:00:00.000,0.4363333333333334,38
2004-04-23 00:00:00.000,0.11,30
2004-04-26 00:00:00.000,-0.11,1
2004-04-28 00:00:00.000,-0.43,1
2004-04-29 00:00:00.000,,1
2004-04-30 00:00:00.000,,2
2004-05-04 00:00:00.000,0.5349999999999999,3
2004-05-05 00:00:00.000,0.0,1
2004-05-06 00:00:00.000,-0.49,2
2004-05-07 00:00:00.000,-0.49,1
2004-05-09 00:00:00.000,,1
2004-05-11 00:00:00.000,,1
2004-05-12 00:00:00.000,-0.003333333333333336,3
2004-05-13 00:00:00.000,-0.485,2
2004-05-14 00:00:00.000,-0.48,1
2004-05-15 00:00:00.000,,1
2004-05-17 00:00:00.000,,1
2004-05-18 00:00:00.000,-0.49,3
2004-05-19 00:00:00.000,-0.32666666666666666,4
2004-05-20 00:00:00.000,-0.245,2
2004-05-21 00:00:00.000,-0.3625,5
2004-05-24 00:00:00.000,-0.18333333333333335,6
2004-05-25 00:00:00.000,-0.057499999999999996,5
2004-05-26 00:00:00.000,0.13571428571428573,11
2004-05-27 00:00:00.000,0.94,2
2004-05-28 00:00:00.000,-0.49,2
2004-06-01 00:00:00.000,0.39,4
2004-06-02 00:00:00.000,-0.01999999999999999,3
2004-06-03 00:00:00.000,-0.5,8
2004-06-04 00:00:00.000,-0.52,2
2004-06-08 00:00:00.000,,2
2004-06-09 00:00:00.000,-0.48,1
2004-06-10 00:00:00.000,0.0,2
2004-06-15 00:00:00.000,,1
2004-06-16 00:00:00.000,0.41,1
2004-06-18 00:00:00.000,0.65,2
2004-06-22 00:00:00.000,,1
2004-06-23 00:00:00.000,0.45,1
2004-06-24 00:00:00.000,0.49,1
2004-06-25 00:00:00.000,0.0,2
2004-06-28 00:00:00.000,-0.476,8
2004-06-29 00:00:00.000,-0.5175000000000001,9
2004-06-30 00:00:00.000,-0.00833333333333334,6
2004-07-01 00:00:00.000,,1
2004-07-02 00:00:00.000,,2
2004-07-06 00:00:00.000,,1
2004-07-07 00:00:00.000,-0.43,1
2004-07-08 00:00:00.000,,2
2004-07-09 00:00:00.000,0.44,1
2004-07-13 00:00:00.000,,1
2004-07-14 00:00:00.000,0.0,1
2004-07-15 00:00:00.000,0.01,3
2004-07-16 00:00:00.000,,3
2004-07-19 00:00:00.000,,1
2004-07-20 00:00:00.000,,3
2004-07-21 00:00:00.000,-0.043333333333333335,4
2004-07-22 00:00:00.000,0.22757575757575763,38
2004-07-23 00:00:00.000,0.0744,35
2004-07-26 00:00:00.000,0.2,5
2004-07-28 00:00:00.000,-0.43,3
2004-07-29 00:00:00.000,0.39,7
2004-08-02 00:00:00.000,-0.52,1
2004-08-04 00:00:00.000,-0.47,4
2004-08-05 00:00:00.000,,2
2004-08-06 00:00:00.000,-0.49,1
2004-08-08 00:00:00.000,,1
2004-08-09 00:00:00.000,,1
2004-08-10 00:00:00.000,,2
2004-08-11 00:00:00.000,-0.45499999999999996,2
2004-08-12 00:00:00.000,-0.57,1
2004-08-13 00:00:00.000,-0.48,1
2004-08-17 00:00:00.000,-0.51,2
2004-08-18 00:00:00.000,-0.38,7
2004-08-19 00:00:00.000,0.550625,28
2004-08-20 00:00:00.000,0.17333333333333334,3
2004-08-23 00:00:00.000,-0.49,2
2004-08-24 00:00:00.000,,1
2004-08-25 00:00:00.000,-0.476,7
2004-08-26 00:00:00.000,0.52,2
2004-08-27 00:00:00.000,-0.25333333333333335,8
2004-08-31 00:00:00.000,-0.48,3
2004-09-01 00:00:00.000,-0.45999999999999996,4
2004-09-02 00:00:00.000,0.49,2
2004-09-07 00:00:00.000,-0.49,1
2004-09-08 00:00:00.000,0.57,1
2004-09-09 00:00:00.000,,1
2004-09-12 00:00:00.000,,1
2004-09-13 00:00:00.000,,1
2004-09-14 00:00:00.000,-0.43,1
2004-09-15 00:00:00.000,-0.48,4
2004-09-16 00:00:00.000,,1
2004-09-20 00:00:00.000,,1
2004-09-21 00:00:00.000,0.28,5
2004-09-22 00:00:00.000,,3
2004-09-23 00:00:00.000,,1
2004-09-24 00:00:00.000,-0.23,2
2004-09-27 00:00:00.000,,3
2004-09-28 00:00:00.000,0.4757142857142857,17
2004-09-29 00:00:00.000,0.18333333333333335,3
2004-09-30 00:00:00.000,0.49,1
2004-10-04 00:00:00.000,0.48,6
2004-10-05 00:00:00.000,-0.292,6
2004-10-06 00:00:00.000,-0.43,3
2004-10-07 00:00:00.000,,5
2004-10-08 00:00:00.000,-0.48,1
2004-10-11 00:00:00.000,0.63,1
2004-10-13 00:00:00.000,-0.00999999999999999,3
2004-10-14 00:00:00.000,,2
2004-10-15 00:00:00.000,,6
2004-10-18 00:00:00.000,,3
2004-10-19 00:00:00.000,,2
2004-10-20 00:00:00.000,0.0,2
2004-10-21 00:00:00.000,0.40259259259259256,34
2004-10-22 00:00:00.000,0.08799999999999997,35
2004-10-25 00:00:00.000,0.5700000000000001,5
2004-10-26 00:00:00.000,0.0,2
2004-10-27 00:00:00.000,0.41,5
2004-10-29 00:00:00.000,0.0,2
2004-10-30 00:00:00.000,-0.51,1
2004-11-01 00:00:00.000,-0.51,1
2004-11-02 00:00:00.000,-0.52,3
2004-11-03 00:00:00.000,-0.398,6
2004-11-04 00:00:00.000,-0.015000000000000013,2
2004-11-05 00:00:00.000,-0.49,1
2004-11-08 00:00:00.000,,2
2004-11-09 00:00:00.000,0.4,9
2004-11-10 00:00:00.000,0.08250000000000002,6
2004-11-11 00:00:00.000,,1
2004-11-13 00:00:00.000,-0.48,2
2004-11-16 00:00:00.000,-0.49,3
2004-11-17 00:00:00.000,-0.014999999999999986,2
2004-11-18 00:00:00.000,-0.4883333333333333,9
2004-11-19 00:00:00.000,-0.12250000000000003,10
2004-11-22 00:00:00.000,0.52,1
2004-11-23 00:00:00.000,,2
2004-11-24 00:00:00.000,-0.45999999999999996,2
2004-11-25 00:00:00.000,-0.48,2
2004-11-26 00:00:00.000,,2
2004-11-27 00:00:00.000,-0.51,1
2004-11-29 00:00:00.000,0.21499999999999997,7
2004-11-30 00:00:00.000,0.2925,6
2004-12-01 00:00:00.000,0.0,5
2004-12-02 00:00:00.000,0.46,1
2004-12-03 00:00:00.000,-0.395,2
2004-12-04 00:00:00.000,-0.49,1
2004-12-06 00:00:00.000,0.26666666666666666,5
2004-12-07 00:00:00.000,-0.54,4
2004-12-08 00:00:00.000,-0.48,1
2004-12-09 00:00:00.000,0.504,8
2004-12-10 00:00:00.000,0.52,5
2004-12-13 00:00:00.000,,2
2004-12-16 00:00:00.000,,4
2004-12-17 00:00:00.000,-0.0050000000000000044,2
