End of Month,Calendar Date,PERMNO,GVKEY,Point-in-time CUSIP,Point-in-time Ticker,Point-in-time Name,Last Known CUSIP,Last Known Ticker,Last Known Name,One-Week Daily Price Trend,One-Month Daily Price Trend,Three-Month Daily Price Trend,Nine-Month Daily Price Trend,Nine-Month Daily Return Skewness,Nine-Month Share of Days Outperforming,Average Daily Share Turnover,One-Month Change in Average Daily Share Turnover,Stochastic Oscillator,Relative Strength Index,Bollinger Band,MACD Signal,Technical Indicator,Earnings Revision,Three-Month Smoothed Earnings Revision,Estimate Dispersion,Share of Estimates Rising,Three-Month Smoothed Dollar Volume,Arbitrage Risk,One-Month Change in Arbitrage Risk,Short Pressure,One-Month Change in Short Pressure,Daily Media Sentiment Indicator,Sector ETF Flows-to-Market Capitalization,Sector ETF Equivalent Volume,Downside Risk (Measured Over the Trailing Three Months),Downside Risk (Measured Over the Trailing Six Months),Downside Risk (Measured Over the Trailing Nine Months),Downside Risk (Measured Over the Trailing Twelve Months),Change in Downside Risk (Measured Over the Trailing Twelve Months),Interaction of Supernovas and Nine-Month Price Trend,Interaction of Earnings Growth Stability and Arbitrage Risk
200001,20000103,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,3,3,3,2,5,1,1,1,3,5,1,4,5,5,3,5,5,4,.,.,4,.,.,5,5,5,5,2,5,5
200001,20000104,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,1,2,2,2,3,2,5,1,2,2,3,5,1,4,5,5,3,5,5,5,.,.,4,.,.,5,5,5,5,2,5,5
200001,20000105,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,2,3,3,2,3,2,5,1,2,1,1,1,3,4,5,5,3,5,5,5,.,.,4,.,.,5,5,5,5,5,5,5
200001,20000106,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,5,3,3,2,5,2,1,1,1,1,2,4,5,5,3,5,5,5,.,.,4,.,.,5,5,5,5,5,5,5
200001,20000107,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,5,4,3,2,5,2,1,1,3,3,1,4,5,5,3,5,5,5,.,.,5,.,.,5,5,5,5,5,5,5
200001,20000110,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,5,3,3,2,5,1,1,1,3,4,1,4,5,5,3,5,5,4,.,.,5,.,.,5,5,5,5,5,5,5
200001,20000111,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,5,3,3,2,5,1,1,1,3,5,1,4,5,5,3,5,5,4,.,.,5,.,.,5,5,5,5,3,5,5
200001,20000112,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,4,3,3,2,5,1,1,1,3,5,1,4,5,5,3,5,5,4,.,.,4,.,.,5,5,5,5,3,5,5
200001,20000113,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,5,4,3,2,5,1,1,1,3,5,1,4,5,5,3,5,5,4,.,.,4,.,.,5,5,5,5,4,5,5
200001,20000114,84788,64768,23135106,AMZN,AMAZON COM INC,23135106,AMZN,AMAZON COM INC,5,5,4,3,3,2,5,1,1,1,3,4,1,4,5,5,3,5,5,4,.,.,4,.,.,5,5,5,5,3,5,5
