End of Month,Calendar Date,PERMNO,GVKEY,Point-in-time CUSIP,Point-in-time Ticker,Point-in-time Name,Last Known CUSIP,Last Known Ticker,Last Known Name,One-Week Daily Price Trend,One-Month Daily Price Trend,Three-Month Daily Price Trend,Nine-Month Daily Price Trend,Nine-Month Daily Return Skewness,Nine-Month Share of Days Outperforming,Average Daily Share Turnover,One-Month Change in Average Daily Share Turnover,Stochastic Oscillator,Relative Strength Index,Bollinger Band,MACD Signal,Technical Indicator,Earnings Revision,Three-Month Smoothed Earnings Revision,Estimate Dispersion,Share of Estimates Rising,Three-Month Smoothed Dollar Volume,Arbitrage Risk,One-Month Change in Arbitrage Risk,Short Pressure,One-Month Change in Short Pressure,Daily Media Sentiment Indicator,Sector ETF Flows-to-Market Capitalization,Sector ETF Equivalent Volume,Downside Risk (Measured Over the Trailing Three Months),Downside Risk (Measured Over the Trailing Six Months),Downside Risk (Measured Over the Trailing Nine Months),Downside Risk (Measured Over the Trailing Twelve Months),Change in Downside Risk (Measured Over the Trailing Twelve Months),Interaction of Supernovas and Nine-Month Price Trend,Interaction of Earnings Growth Stability and Arbitrage Risk
200301,20030102,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,3,1,5,1,1,2,5,5,4,2,2,2,3,3,1,1,1,5,4,4,.,.,2,4,.,4,4,4,4,2,4,3
200301,20030103,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,4,1,5,2,1,3,5,5,4,2,2,1,2,3,1,1,1,5,4,4,.,.,1,4,.,4,4,4,4,2,4,3
200301,20030106,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,4,3,5,1,1,3,5,5,2,1,2,1,1,3,1,1,1,5,4,3,.,.,1,4,.,4,4,4,4,2,4,3
200301,20030107,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,5,4,5,2,1,3,5,5,1,1,2,2,1,3,1,1,1,5,4,3,.,.,1,4,.,4,4,4,4,3,4,3
200301,20030108,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,5,4,5,2,1,3,5,5,1,1,3,4,1,3,1,1,1,5,4,3,.,.,3,4,.,4,4,4,4,3,4,3
200301,20030109,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,5,4,5,2,1,3,5,5,1,1,2,2,1,3,1,1,1,5,4,3,.,.,2,4,.,4,4,4,4,3,4,3
200301,20030110,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,5,5,5,2,1,2,5,5,1,1,1,2,1,3,1,1,1,5,4,4,.,.,2,4,.,4,4,4,4,2,4,3
200301,20030113,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,5,5,5,2,1,3,5,5,1,1,3,5,1,3,1,1,1,5,4,4,.,.,1,4,.,4,4,4,4,2,4,3
200301,20030114,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,4,5,5,2,1,3,5,5,1,1,1,4,1,3,1,1,1,5,4,4,.,.,1,4,.,4,4,4,4,2,4,3
200301,20030115,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,5,5,5,2,1,3,5,5,1,1,1,5,1,3,1,1,1,5,4,4,.,.,2,4,.,4,4,4,4,3,4,3
200301,20030116,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,4,5,5,3,1,3,5,4,1,1,3,5,1,3,1,1,1,5,4,3,.,.,2,4,.,4,4,4,4,3,4,3
200301,20030117,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,3,5,5,3,1,3,5,4,2,2,3,5,3,3,1,1,1,5,4,3,.,.,2,4,.,4,4,4,4,4,4,3
200301,20030121,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,2,4,5,3,1,3,5,4,2,2,3,5,4,3,1,1,1,5,4,3,.,.,1,4,.,4,4,4,4,4,4,3
200301,20030122,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,1,4,5,2,1,2,5,4,4,2,3,5,5,3,1,1,1,5,4,3,.,.,1,3,.,4,4,4,4,4,4,3
200301,20030123,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,1,3,5,3,1,2,5,3,5,3,3,5,5,3,1,1,1,5,4,4,.,.,1,3,.,4,4,4,4,3,4,3
200301,20030124,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,1,3,5,3,1,2,5,2,5,4,3,5,5,3,1,1,1,5,4,4,.,.,1,3,.,4,4,4,4,2,4,3
200301,20030127,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,1,3,5,3,1,2,5,2,5,4,4,3,5,3,1,1,1,5,4,4,.,.,1,3,.,4,4,4,4,1,4,3
200301,20030128,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,1,3,5,2,1,2,5,1,5,5,3,2,5,3,1,1,1,5,4,4,.,.,4,3,.,4,4,4,4,2,4,3
200301,20030129,89179,145046,03674B104,ATH,ANTHEM INC,36752103,ANTM,ANTHEM INC,2,3,5,2,1,3,5,1,5,5,3,3,5,3,1,1,1,5,4,3,.,.,3,3,.,4,4,4,4,2,4,3
