End of Month,Calendar Date,PERMNO,GVKEY,Point-in-time CUSIP,Point-in-time Ticker,Point-in-time Name,Last Known CUSIP,Last Known Ticker,Last Known Name,One-Week Daily Price Trend,One-Month Daily Price Trend,Three-Month Daily Price Trend,Nine-Month Daily Price Trend,Nine-Month Daily Return Skewness,Nine-Month Share of Days Outperforming,Average Daily Share Turnover,One-Month Change in Average Daily Share Turnover,Stochastic Oscillator,Relative Strength Index,Bollinger Band,MACD Signal,Technical Indicator,Earnings Revision,Three-Month Smoothed Earnings Revision,Estimate Dispersion,Share of Estimates Rising,Three-Month Smoothed Dollar Volume,Arbitrage Risk,One-Month Change in Arbitrage Risk,Short Pressure,One-Month Change in Short Pressure,Daily Media Sentiment Indicator,Sector ETF Flows-to-Market Capitalization,Sector ETF Equivalent Volume,Downside Risk (Measured Over the Trailing Three Months),Downside Risk (Measured Over the Trailing Six Months),Downside Risk (Measured Over the Trailing Nine Months),Downside Risk (Measured Over the Trailing Twelve Months),Change in Downside Risk (Measured Over the Trailing Twelve Months),Interaction of Supernovas and Nine-Month Price Trend,Interaction of Earnings Growth Stability and Arbitrage Risk
200001,20000103,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,5,5,5,4,5,4,1,3,1,1,3,4,1,3,3,2,4,5,2,3,.,.,5,.,.,2,1,1,1,2,2,1
200001,20000104,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,4,5,4,4,5,4,1,3,1,1,3,4,1,3,3,2,4,5,2,3,.,.,5,.,.,2,1,1,1,2,2,1
200001,20000105,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,3,5,4,4,5,4,1,3,1,1,3,5,1,3,3,2,4,5,2,3,.,.,4,.,.,2,1,1,1,2,1,1
200001,20000106,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,2,5,4,4,5,4,1,4,1,1,3,3,1,3,3,2,4,5,2,2,.,.,4,.,.,1,1,1,1,2,1,1
200001,20000107,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,3,5,4,4,5,4,1,4,2,1,3,4,2,3,3,2,4,5,2,2,.,.,4,.,.,1,1,1,1,2,1,1
200001,20000110,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,3,5,4,4,5,4,1,4,2,1,3,3,2,3,3,2,4,5,2,2,.,.,5,.,.,1,1,1,1,1,1,1
200001,20000111,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,3,5,4,4,5,4,1,4,3,2,3,5,3,3,3,2,4,5,2,2,.,.,5,.,.,2,1,1,1,1,2,1
200001,20000112,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,3,4,4,4,5,4,1,4,4,4,5,5,4,3,3,2,4,5,2,3,.,.,5,.,.,2,1,1,1,1,2,1
200001,20000113,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,1,3,4,4,5,4,1,4,5,4,3,3,5,3,3,2,4,5,2,3,.,.,5,.,.,2,1,1,1,1,2,1
200001,20000114,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,2,4,4,4,5,4,1,4,5,4,5,3,5,3,3,2,4,5,2,3,.,.,5,.,.,2,1,1,1,1,2,1
200001,20000118,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,1,4,4,4,5,4,1,4,4,3,3,2,5,3,3,2,4,5,2,3,.,.,5,.,.,2,1,1,1,1,2,1
200001,20000119,43449,7154,580135101,MCD,MCDONALDS CORP,580135101,MCD,MCDONALDS CORP,3,4,4,4,5,4,1,4,4,4,3,3,5,3,3,2,4,5,2,3,.,.,5,.,.,2,1,1,1,2,2,1
